play_id,game_str,events,player_position,first_base,Ellipsoid,Ellipsoidx,Ellipsoidy,Ellipsoidz,has_bounce,bounce_count,was_caught,throw_velocity,throw_distance,throw_duration,at_teamA1,at_teamA2,at_teamA3
24,1900_01_TeamKJ_TeamB,[3],[2],9218,4.999999999999999,4.963869279013568,0.3895439652533365,3.63594,0,0,1,75.80029781410754,69.70595386985329,627,0,0,0
26,1900_01_TeamKJ_TeamB,[3],[1],9218,3.400000000000002,1.438009175248614,0.4480403686062251,0,0,0,1,57.83719340311969,61.58504353564184,726,0,0,0
37,1900_01_TeamKJ_TeamB,[3],[1],9218,1.800000000000001,-0.118034619056142,-1.717688455076847,3.3702,0,0,1,58.49536214799761,65.11703714315094,759,0,0,0
42,1900_01_TeamKJ_TeamB,[3],[6],2196,4.600000000000001,-3.617902962152073,-2.407887571389347,2.43699,0,0,1,66.78307837033326,96.96902979372389,990,0,0,0
48,1900_01_TeamKJ_TeamB,[3],[6],2196,3.000000000000002,3.976725976626726e-4,0.9795066726962653,0.270729,0,0,1,70.67973120039903,82.1015757623835,792,0,0,0
50,1900_01_TeamKJ_TeamB,[3],[6],2196,4.100000000000002,-2.30724242445021,-3.29064486306516,3.68661,0,0,1,61.31591764073148,97.93378365577631,1089,0,0,0
55,1900_01_TeamKJ_TeamB,[3],[4],9218,4.100000000000002,-2.935408192551088,-2.354795471607658,2.006625,0,0,1,60.69178131258414,64.62460874163959,726,0,0,0
57,1900_01_TeamKJ_TeamB,[3],[4],9218,2.000000000000001,0.9900147593454885,-1.445059744881884,2.779086,0,0,1,55.451523928103605,67.09634395300536,825,0,0,0
65,1900_01_TeamKJ_TeamB,[3],[4],2196,3.500000000000002,0.7062928030303005,-1.530261286966251,0,0,0,1,60.28857876696015,81.70308194498439,924,0,0,0
66,1900_01_TeamKJ_TeamB,[3],[5],2196,6.899999999999992,4.869748605377151,-4.828484097563878,3.49599,0,0,1,67.0670275004174,100.62736806162626,1023,0,0,0
70,1900_01_TeamKJ_TeamB,[3],[1],2196,4.100000000000002,3.456689708000295,0.9575147584266507,1.581897,0,0,1,59.40675811363637,51.75516766860001,594,0,0,0
80,1900_01_TeamKJ_TeamB,[3],[6],9218,5.099999999999999,2.915481449110301,-3.159323574737739,0.430488,0,0,1,60.23873673280431,104.95997488323823,1188,0,0,0
86,1900_01_TeamKJ_TeamB,[3],[5],2196,4.400000000000001,1.5067909736036,-4.081214772817855,3.71895,0,0,1,71.5685993022154,107.38152639304397,1023,0,0,0
93,1900_01_TeamKJ_TeamB,[3],[2],2196,4.400000000000001,4.215135527980592,-0.8995464027806969,3.75699,0,0,1,55.793221910661714,75.61097433332876,924,0,0,0
97,1900_01_TeamKJ_TeamB,[3],[5],9218,6.299999999999994,1.740914548951437,-5.905566287262315,5.49753,0,0,1,70.25912988112596,125.82004979112034,1221,0,0,0
124,1900_01_TeamKJ_TeamB,[3],[4],2196,4.300000000000002,-4.252949216155595,-0.4468108825906538,3.94683,0,0,1,53.017990532057645,56.45355631853498,726,0,0,0
161,1900_01_TeamKJ_TeamB,[3],[1],9218,4.7,4.018376365575219,-2.265961214272323,5.1249,0,0,1,30.199559896828983,36.54146747516307,825,0,0,0
183,1900_01_TeamKJ_TeamB,[3],[5],9218,3.800000000000002,-2.294592992806859,-2.482877727025973,1.73595,0,0,1,71.23145244232151,113.7708758408759,1089,0,0,0
212,1900_01_TeamKJ_TeamB,[3],[6],9218,7.099999999999992,6.621193110979692,-2.331873128434533,4.73697,0,0,0,63.31227515934987,119.60110859435585,1288,0,0,0
214,1900_01_TeamKJ_TeamB,[3],[4],9218,2.700000000000002,-2.274399030472214,-1.347215123945341,4.30755,0,0,1,58.32937113118187,84.69424688247608,990,0,0,0
239,1900_01_TeamKJ_TeamB,[3],[6],9218,6.199999999999995,2.394638874669116,-5.652108910833492,4.10973,0,0,1,76.46434035730208,125.8297184919763,1122,0,0,0
242,1900_01_TeamKJ_TeamB,[3],[6],9218,6.099999999999995,-2.372598359491747,-5.077790819297013,0.902385,0,0,1,65.91857961108798,114.85653311435968,1188,0,0,0
251,1900_01_TeamKJ_TeamB,[3],[5],2196,2.500000000000001,0.1152381114990153,-1.015448348099562,7.02276,0,0,1,65.80606356510577,111.47547167928917,1155,0,0,0
253,1900_01_TeamKJ_TeamB,[3],[5],2196,5.099999999999999,4.993893709869274,-0.5001230893770852,3.43812,0,0,1,71.77498320822193,97.26945724378234,924,0,0,0
264,1900_01_TeamKJ_TeamB,[3],[1],9218,2.300000000000001,2.051987272142427,-0.4701679008242347,2.932848,0,0,1,72.22308606305243,83.89433677084169,792,0,0,0
71,1900_02_TeamKJ_TeamB,[3],[5],9218,3.400000000000002,1.928700142705733,-1.593502911678191,6.9231,0,0,1,58.401351476295424,87.62538775503364,1023,0,0,0
88,1900_02_TeamKJ_TeamB,[3],[6],2488,5.999999999999996,-5.462185042729581,-2.268588602850065,3.36234,0,0,1,70.19326796220025,81.53650006489181,792,0,0,0
101,1900_02_TeamKJ_TeamB,[3],[6],9218,2.500000000000001,1.532034298751504,1.109877068620209,6.06744,0,0,0,56.11069175174936,86.90423938510939,1056,0,0,0
